Cve_Ent,Nom_Ent,Cve_Mun,Nom_Mun,Lugar,Lat_Decimal,Lon_Decimal,CVEGEO
1,Aguascalientes,1,Aguascalientes,"Aguascalientes, Aguascalientes",21.879823,-102.296047,01001
1,Aguascalientes,2,Asientos,"Asientos, Aguascalientes",22.238317,-102.089275,01002
1,Aguascalientes,3,Calvillo,"Calvillo, Aguascalientes",21.846907,-102.718751,01003
1,Aguascalientes,4,Cosío,"Cosío, Aguascalientes",22.366409,-102.300044,01004
1,Aguascalientes,5,Jesús María,"Jesús María, Aguascalientes",21.961273,-102.343416,01005
1,Aguascalientes,6,Pabellón de Arteaga,"Pabellón de Arteaga, Aguascalientes",22.149202,-102.276542,01006
1,Aguascalientes,7,Rincón de Romos,"Rincón de Romos, Aguascalientes",22.229233,-102.323069,01007
1,Aguascalientes,8,San José de Gracia,"San José de Gracia, Aguascalientes",22.150216,-102.415634,01008
1,Aguascalientes,9,Tepezalá,"Tepezalá, Aguascalientes",22.224228,-102.166971,01009
1,Aguascalientes,10,El Llano,"El Llano, Aguascalientes",21.918869,-101.965307,01010
1,Aguascalientes,11,San Francisco de los Romo,"San Francisco de los Romo, Aguascalientes",22.072393,-102.272678,01011
2,Baja California,1,Ensenada,"Ensenada, Baja California",31.808944,-116.595134,02001
2,Baja California,2,Mexicali,"Mexicali, Baja California",32.641176,-115.475579,02002
2,Baja California,3,Tecate,"Tecate, Baja California",32.572679,-116.62655,02003
2,Baja California,4,Tijuana,"Tijuana, Baja California",32.532461,-117.018913,02004
2,Baja California,5,Playas de Rosarito,"Playas de Rosarito, Baja California",32.363684,-117.054459,02005
2,Baja California,6,San Quintín,"San Quintín, Baja California",30.556485,-115.939061,02006
2,Baja California,7,San Felipe,"San Felipe, Baja California",31.02292,-114.838901,02007
3,Baja California Sur,1,Comondú,"Comondú, Baja California Sur",25.034636,-111.673339,03001
3,Baja California Sur,2,Mulegé,"Mulegé, Baja California Sur",27.336868,-112.268275,03002
3,Baja California Sur,3,La Paz,"La Paz, Baja California Sur",24.148745,-110.30659,03003
3,Baja California Sur,8,Los Cabos,"Los Cabos, Baja California Sur",23.061591,-109.694749,03008
3,Baja California Sur,9,Loreto,"Loreto, Baja California Sur",26.012778,-111.343333,03009
